Date,Team 1,Team 2,Venue,Time,Status
2026-04-01,RCB,MI,M Chinnaswamy Stadium,19:30,upcoming
2026-04-02,CSK,KKR,MA Chidambaram Stadium,19:30,upcoming
2026-04-03,SRH,DC,Rajiv Gandhi Stadium,19:30,upcoming
2026-04-04,PK,RR,IS Bindra Stadium,19:30,upcoming
2026-04-05,LSG,GT,BRSABV Ekana Stadium,19:30,upcoming
2026-04-06,MI,CSK,Wankhede Stadium,19:30,upcoming
2026-04-07,KKR,RCB,Eden Gardens,19:30,upcoming
2026-04-08,DC,SRH,Arun Jaitley Stadium,19:30,upcoming
2026-04-09,GT,LSG,Narendra Modi Stadium,19:30,upcoming
2026-04-10,RR,PK,Sawai Mansingh Stadium,19:30,upcoming

