Name,Role,Age,Nationality,Batting Style,Bowling Style,Image
Virat Kohli,Batsman,35,Indian,Right-handed,Right-arm medium,virat_kohli.png
AB de Villiers,Wicket-keeper,39,South African,Right-handed,Right-arm medium,abde.png
Devdutt Padikkal,Batsman,23,Indian,Left-handed,-,dev.png
Gurkeerat Singh Mann,All-rounder,33,Indian,Right-handed,Right-arm off-break,gurkeerat.png
Isuru Udana,Bowler,36,Sri Lankan,Left-handed,Left-arm medium,isuru.png
Moeen Ali,All-rounder,36,English,Left-handed,Right-arm off-break,Moeen.png
Chris Morris,All-rounder,37,South African,Right-handed,Right-arm fast-medium,morris.png
Pawan Negi,All-rounder,31,Indian,Left-handed,Left-arm orthodox,negi.png
Navdeep Saini,Batsman,28,Indian,Right-handed,Right-arm medium,nsaini.png
Pavan Deshpande,Batsman,30,Indian,Right-handed,-,pp.png
Josh Philippe,Wicket-keeper,27,Australian,Right-handed,-,Philippe.png
Aaron Finch,Batsman,37,Australian,Right-handed,-,Finch.png
